classes;matiere;date;trimestre;sur;coeff;note;eleve_id;prof_id;niveau;niveau_de_classe;note_ponderee
1A;Arabe;2023-10-04;Trimestre 1;20;2.0;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
1A;SPC;2023-10-05;Trimestre 1;10;1.0;8.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;16.0
1A;SPC;2023-10-05;Trimestre 1;10;1.0;8.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;17.0
1A;Hist-Géo/EMC;2023-10-09;Trimestre 1;20;2.0;15.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;30.0
1A;Espagnol;2023-10-10;Trimestre 1;10;1.0;9.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;18.0
1A;Espagnol;2023-10-12;Trimestre 1;20;1.0;17.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;17.0
1A;Mathématiques;2023-10-17;Trimestre 1;20;1.0;16.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;16.0
1A;SPC;2023-10-18;Trimestre 1;20;2.0;16.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;33.0
1A;Hist-Géo/EMC;2023-11-03;Trimestre 1;5;1.0;4.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;18.0
1A;SVT;2023-11-07;Trimestre 1;20;2.0;19.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;38.0
1A;SPC;2023-11-13;Trimestre 1;20;1.0;17.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;17.5
1A;Arabe;2023-11-16;Trimestre 1;20;1.0;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
